dataset_name,model_name,strictness_level,method,correlation,average_professor_score,average_llm_score,average_score_ratio,rmse,professor_stddev,rmse_stddev_ratio
tnp_jan,deepseek-chat,default,correct_answer,0.950308,8.550000,7.725000,0.903509,1.259960,3.057368,0.412106
tnp_jan,deepseek-reasoner,default,correct_answer,0.896413,8.550000,7.300000,0.853801,1.877498,3.057368,0.614090
tnp_jan,gpt-4o-mini,default,correct_answer,0.870207,8.550000,7.550000,0.883041,1.809696,3.057368,0.591913
tnp_jan,gpt-4o-mini,default,textbook_based,0.891398,8.550000,7.125000,0.833333,1.990603,3.057368,0.651084
tnp_jan,gpt-4o,default,correct_answer,0.946899,8.550000,7.925000,0.926901,1.167262,3.057368,0.381786
tnp_jan,gpt-4o,default,textbook_based,0.758473,8.550000,6.255000,0.731579,3.193979,3.057368,1.044682
tnp_jan,gpt-5,default,correct_answer,0.913130,8.550000,7.875000,0.921053,1.465094,3.057368,0.479201
tnp_jan,deepseek-chat,default,generated_answer,0.950715,8.550000,7.450000,0.871345,1.457738,3.057368,0.476795
tnp_jan,deepseek-reasoner,default,generated_answer,0.799210,8.550000,6.375000,0.745614,2.926175,3.057368,0.957090
tnp_jan,gpt-4o-mini,default,generated_answer,0.880022,8.550000,6.375000,0.745614,2.638655,3.057368,0.863048
tnp_jan,gpt-4o,default,generated_answer,0.958106,8.550000,7.575000,0.885965,1.327592,3.057368,0.434227
tnp_jan,gpt-5,default,generated_answer,0.716052,8.550000,6.450000,0.754386,3.206088,3.057368,1.048643
tnp_jan,deepseek-chat,hard,generated_answer,0.908083,8.550000,7.050000,0.824561,1.974842,3.057368,0.645929
tnp_jan,deepseek-reasoner,hard,generated_answer,0.619365,8.550000,5.850000,0.684211,3.850325,3.057368,1.259359
tnp_jan,gpt-4o-mini,hard,generated_answer,0.911713,8.550000,6.400000,0.748538,2.622022,3.057368,0.857608
tnp_jan,gpt-4o,hard,generated_answer,0.901594,8.550000,6.875000,0.804094,2.159282,3.057368,0.706255
tnp_jan,gpt-5,hard,generated_answer,0.810762,8.550000,6.600000,0.771930,2.692582,3.057368,0.880686
tnp_jan,deepseek-chat,soft,generated_answer,0.882650,8.550000,7.400000,0.865497,1.864135,3.057368,0.609719
tnp_jan,deepseek-reasoner,soft,generated_answer,0.778066,8.550000,6.775000,0.792398,2.727178,3.057368,0.892002
tnp_jan,gpt-4o-mini,soft,generated_answer,0.933634,8.550000,6.625000,0.774854,2.277608,3.057368,0.744957
tnp_jan,gpt-4o,soft,generated_answer,0.725762,8.550000,6.600000,0.771930,3.224903,3.057368,1.054797
tnp_jan,gpt-5,soft,generated_answer,0.794270,8.550000,6.885000,0.805263,2.606626,3.057368,0.852572
tnp_jan,deepseek-chat,hard,correct_answer,0.950013,8.550000,7.700000,0.900585,1.284523,3.057368,0.420140
tnp_jan,deepseek-reasoner,hard,correct_answer,0.789323,8.550000,6.675000,0.780702,2.777139,3.057368,0.908343
tnp_jan,gpt-4o-mini,hard,correct_answer,0.880379,8.550000,7.500000,0.877193,1.795828,3.057368,0.587377
tnp_jan,gpt-4o-mini,hard,textbook_based,0.877163,8.550000,6.400000,0.748538,2.626785,3.057368,0.859165
tnp_jan,gpt-4o,hard,correct_answer,0.952353,8.550000,7.525000,0.880117,1.391941,3.057368,0.455274
tnp_jan,gpt-4o,hard,textbook_based,0.882043,8.550000,7.050000,0.824561,2.085665,3.057368,0.682177
tnp_jan,gpt-5,hard,correct_answer,0.704967,8.550000,6.500000,0.760234,3.232646,3.057368,1.057330
tnp_jan,deepseek-chat,soft,correct_answer,0.922847,8.550000,7.700000,0.900585,1.457738,3.057368,0.476795
tnp_jan,deepseek-reasoner,soft,correct_answer,0.900458,8.550000,7.425000,0.868421,1.757128,3.057368,0.574719
tnp_jan,gpt-4o-mini,soft,correct_answer,0.946393,8.550000,7.750000,0.906433,1.274755,3.057368,0.416945
tnp_jan,gpt-4o-mini,soft,textbook_based,0.895267,8.550000,7.350000,0.859649,1.816590,3.057368,0.594168
tnp_jan,gpt-4o,soft,correct_answer,0.942167,8.550000,8.050000,0.941520,1.140175,3.057368,0.372927
tnp_jan,gpt-5,soft,correct_answer,0.923278,8.550000,7.975000,0.932749,1.340336,3.057368,0.438395
