dataset_name,model_name,strictness_level,method,correlation,average_professor_score,average_llm_score,average_score_ratio,rmse,professor_stddev,rmse_stddev_ratio
dzp,deepseek-chat,default,correct_answer,0.800893,5.600000,4.550000,0.812500,2.230471,2.727636,0.817730
dzp,deepseek-reasoner,default,correct_answer,0.816610,5.600000,3.900000,0.696429,2.355844,2.727636,0.863694
dzp,gpt-4o-mini,default,correct_answer,0.859827,5.600000,5.650000,1.008929,1.665833,2.727636,0.610724
dzp,gpt-4o-mini,default,textbook_based,0.440704,5.600000,7.000000,1.250000,2.863564,2.727636,1.049834
dzp,gpt-4o,default,correct_answer,0.609220,5.600000,6.100000,1.089286,2.313007,2.727636,0.847989
dzp,gpt-4o,default,textbook_based,0.367467,5.600000,5.480000,0.978571,3.271697,2.727636,1.199462
dzp,gpt-5,default,correct_answer,0.916055,5.600000,4.550000,0.812500,1.710263,2.727636,0.627013
dzp,deepseek-chat,default,generated_answer,0.835838,5.600000,4.250000,0.758929,2.207940,2.727636,0.809470
dzp,deepseek-reasoner,default,generated_answer,0.864221,5.600000,3.950000,0.705357,2.207940,2.727636,0.809470
dzp,gpt-4o-mini,default,generated_answer,0.507670,5.600000,5.550000,0.991071,2.350532,2.727636,0.861747
dzp,gpt-4o,default,generated_answer,0.604009,5.600000,5.830000,1.041071,2.323575,2.727636,0.851864
dzp,gpt-5,default,generated_answer,0.864949,5.600000,4.000000,0.714286,2.249000,2.727636,0.824523
dzp,deepseek-chat,hard,generated_answer,0.782765,5.600000,4.400000,0.785714,2.280351,2.727636,0.836017
dzp,deepseek-reasoner,hard,generated_answer,0.798646,5.600000,3.150000,0.562500,2.953811,2.727636,1.082920
dzp,gpt-4o-mini,hard,generated_answer,0.307246,5.600000,6.100000,1.089286,2.673948,2.727636,0.980317
dzp,gpt-4o,hard,generated_answer,0.779974,5.600000,3.650000,0.651786,2.832843,2.727636,1.038571
dzp,gpt-5,hard,generated_answer,0.812064,5.600000,3.400000,0.607143,2.756810,2.727636,1.010695
dzp,deepseek-chat,soft,generated_answer,0.890093,5.600000,3.300000,0.589286,2.837252,2.727636,1.040187
dzp,deepseek-reasoner,soft,generated_answer,0.911051,5.600000,4.050000,0.723214,2.162175,2.727636,0.792692
dzp,gpt-4o-mini,soft,generated_answer,0.551451,5.600000,5.400000,0.964286,2.313007,2.727636,0.847989
dzp,gpt-4o,soft,generated_answer,0.680511,5.600000,4.650000,0.830357,2.464752,2.727636,0.903622
dzp,gpt-5,soft,generated_answer,0.903099,5.600000,4.250000,0.758929,1.968502,2.727636,0.721688
dzp,deepseek-chat,hard,correct_answer,0.859013,5.600000,4.800000,0.857143,1.788854,2.727636,0.655826
dzp,deepseek-reasoner,hard,correct_answer,0.768249,5.600000,4.400000,0.785714,2.190890,2.727636,0.803219
dzp,gpt-4o-mini,hard,correct_answer,0.738473,5.600000,6.300000,1.125000,2.061553,2.727636,0.755802
dzp,gpt-4o-mini,hard,textbook_based,0.577369,5.600000,6.700000,1.196429,2.607681,2.727636,0.956022
dzp,gpt-4o,hard,correct_answer,0.885917,5.600000,4.200000,0.750000,2.291288,2.727636,0.840027
dzp,gpt-4o,hard,textbook_based,0.202232,5.600000,2.800000,0.500000,4.964877,2.727636,1.820212
dzp,gpt-5,hard,correct_answer,0.685420,5.600000,4.600000,0.821429,2.280351,2.727636,0.836017
dzp,deepseek-chat,soft,correct_answer,0.857503,5.600000,4.250000,0.758929,2.350532,2.727636,0.861747
dzp,deepseek-reasoner,soft,correct_answer,0.845423,5.600000,4.200000,0.750000,2.167948,2.727636,0.794808
dzp,gpt-4o-mini,soft,correct_answer,0.932771,5.600000,6.250000,1.116071,1.369306,2.727636,0.502012
dzp,gpt-4o-mini,soft,textbook_based,0.362210,5.600000,6.600000,1.178571,2.801785,2.727636,1.027184
dzp,gpt-4o,soft,correct_answer,0.647062,5.600000,6.650000,1.187500,2.434132,2.727636,0.892396
dzp,gpt-5,soft,correct_answer,0.869909,5.600000,4.650000,0.830357,1.809696,2.727636,0.663467
