dataset_name,model_name,strictness_level,method,correlation,average_professor_score,average_llm_score,average_score_ratio,rmse,professor_stddev,rmse_stddev_ratio
vp_jun,deepseek-chat,default,correct_answer,0.760987,8.937500,7.812500,0.874126,1.936492,1.599560,1.210640
vp_jun,deepseek-reasoner,default,correct_answer,0.485393,8.937500,7.593750,0.849650,2.183031,1.599560,1.364769
vp_jun,gpt-4o-mini,default,correct_answer,0.745974,8.937500,7.562500,0.846154,1.845603,1.599560,1.153819
vp_jun,gpt-4o-mini,default,textbook_based,0.604625,8.937500,7.843750,0.877622,1.745530,1.599560,1.091256
vp_jun,gpt-4o,default,correct_answer,0.618001,8.937500,8.437500,0.944056,1.369306,1.599560,0.856052
vp_jun,gpt-4o,default,textbook_based,0.687784,8.937500,7.556250,0.845455,2.237605,1.599560,1.398887
vp_jun,gpt-5,default,correct_answer,0.483470,8.937500,8.162500,0.913287,2.002498,1.599560,1.251905
vp_jun,deepseek-chat,default,generated_answer,0.567670,8.937500,6.875000,0.769231,2.622022,1.599560,1.639214
vp_jun,deepseek-reasoner,default,generated_answer,0.622284,8.937500,5.812500,0.650350,3.754164,1.599560,2.346997
vp_jun,gpt-4o-mini,default,generated_answer,0.496708,8.937500,6.312500,0.706294,3.201562,1.599560,2.001526
vp_jun,gpt-4o,default,generated_answer,0.767295,8.937500,7.500000,0.839161,1.912132,1.599560,1.195411
vp_jun,gpt-5,default,generated_answer,0.509998,8.937500,7.281250,0.814685,2.648703,1.599560,1.655894
vp_jun,deepseek-chat,hard,generated_answer,0.667226,8.937500,7.000000,0.783217,2.331845,1.599560,1.457803
vp_jun,deepseek-reasoner,hard,generated_answer,0.295286,8.937500,5.906250,0.660839,4.331931,1.599560,2.708201
vp_jun,gpt-4o-mini,hard,generated_answer,0.663962,8.937500,6.625000,0.741259,2.604083,1.599560,1.627999
vp_jun,gpt-4o,hard,generated_answer,0.430238,8.937500,5.687500,0.636364,4.486090,1.599560,2.804576
vp_jun,gpt-5,hard,generated_answer,0.558690,8.937500,6.500000,0.727273,3.307189,1.599560,2.067561
vp_jun,deepseek-chat,soft,generated_answer,0.522273,8.937500,6.437500,0.720280,3.592527,1.599560,2.245946
vp_jun,deepseek-reasoner,soft,generated_answer,0.593292,8.937500,6.468750,0.723776,3.323684,1.599560,2.077873
vp_jun,gpt-4o-mini,soft,generated_answer,0.480922,8.937500,6.468750,0.723776,3.089802,1.599560,1.931657
vp_jun,gpt-4o,soft,generated_answer,0.309634,8.937500,7.031250,0.786713,3.174606,1.599560,1.984674
vp_jun,gpt-5,soft,generated_answer,0.604598,8.937500,7.731250,0.865035,2.132926,1.599560,1.333445
vp_jun,deepseek-chat,hard,correct_answer,0.794604,8.937500,7.750000,0.867133,1.561249,1.599560,0.976049
vp_jun,deepseek-reasoner,hard,correct_answer,0.280220,8.937500,7.625000,0.853147,2.487469,1.599560,1.555095
vp_jun,gpt-4o-mini,hard,correct_answer,0.520748,8.937500,7.531250,0.842657,1.972467,1.599560,1.233130
vp_jun,gpt-4o-mini,hard,textbook_based,0.472386,8.937500,7.500000,0.839161,2.038688,1.599560,1.274530
vp_jun,gpt-4o,hard,correct_answer,0.608568,8.937500,6.375000,0.713287,3.852759,1.599560,2.408636
vp_jun,gpt-4o,hard,textbook_based,0.435992,8.937500,5.906250,0.660839,4.951326,1.599560,3.095429
vp_jun,gpt-5,hard,correct_answer,0.429806,8.937500,8.000000,0.895105,2.165064,1.599560,1.353537
vp_jun,deepseek-chat,soft,correct_answer,0.798155,8.937500,7.812500,0.874126,1.944544,1.599560,1.215674
vp_jun,deepseek-reasoner,soft,correct_answer,0.665147,8.937500,7.718750,0.863636,1.980372,1.599560,1.238073
vp_jun,gpt-4o-mini,soft,correct_answer,0.716891,8.937500,7.937500,0.888112,1.551209,1.599560,0.969772
vp_jun,gpt-4o-mini,soft,textbook_based,0.688669,8.937500,7.968750,0.891608,1.556237,1.599560,0.972916
vp_jun,gpt-4o,soft,correct_answer,0.431731,8.937500,8.093750,0.905594,2.095382,1.599560,1.309973
vp_jun,gpt-5,soft,correct_answer,0.527143,8.937500,8.293750,0.927972,1.786932,1.599560,1.117139
