dataset_name,model_name,strictness_level,method,correlation,average_professor_score,average_llm_score,average_score_ratio,rmse,professor_stddev,rmse_stddev_ratio
p2_sept2,deepseek-chat,default,correct_answer,0.751832,5.731771,4.460938,0.778283,3.173786,4.315932,0.735365
p2_sept2,deepseek-reasoner,default,correct_answer,0.819643,5.365854,4.451220,0.829545,2.641715,4.324525,0.610868
p2_sept2,gpt-4o-mini,default,correct_answer,0.758028,5.731771,5.264583,0.918492,2.875987,4.315932,0.666365
p2_sept2,gpt-4o-mini,default,textbook_based,0.712980,5.731771,5.505208,0.960473,3.045446,4.315932,0.705629
p2_sept2,gpt-4o,default,textbook_based,0.707608,5.709424,4.793717,0.839615,3.201153,4.316123,0.741673
p2_sept2,gpt-5,default,correct_answer,0.843783,5.731771,4.917708,0.857974,2.471747,4.315932,0.572703
p2_sept2,deepseek-chat,default,generated_answer,0.507640,5.731771,3.171875,0.553385,4.701091,4.315932,1.089241
p2_sept2,deepseek-reasoner,default,generated_answer,0.763043,5.731771,4.357813,0.760291,3.111002,4.315932,0.720818
p2_sept2,gpt-4o-mini,default,generated_answer,0.620696,5.731771,4.695312,0.819173,3.539583,4.315932,0.820120
p2_sept2,gpt-4o,default,generated_answer,0.683640,5.731771,5.058854,0.882599,3.253732,4.315932,0.753889
p2_sept2,gpt-5,default,generated_answer,0.813644,5.731771,4.554688,0.794639,2.775657,4.315932,0.643119
p2_sept2,deepseek-chat,hard,generated_answer,0.478188,5.731771,2.302083,0.401636,5.283746,4.315932,1.224242
p2_sept2,deepseek-reasoner,hard,generated_answer,0.710397,5.731771,4.825521,0.841890,3.239968,4.315932,0.750700
p2_sept2,gpt-4o-mini,hard,generated_answer,0.558837,5.731771,4.893229,0.853703,3.677777,4.315932,0.852140
p2_sept2,gpt-4o,hard,generated_answer,0.662398,5.731771,3.492188,0.609269,4.063622,4.315932,0.941540
p2_sept2,gpt-5,hard,generated_answer,0.691087,5.731771,4.739583,0.826897,3.308960,4.315932,0.766685
p2_sept2,deepseek-chat,soft,generated_answer,0.461243,5.731771,1.992188,0.347569,5.526216,4.315932,1.280422
p2_sept2,deepseek-reasoner,soft,generated_answer,0.745192,5.709424,4.636126,0.812013,3.086451,4.316123,0.715098
p2_sept2,gpt-4o-mini,soft,generated_answer,0.632612,5.731771,4.939062,0.861699,3.435871,4.315932,0.796090
p2_sept2,gpt-4o,soft,generated_answer,0.651575,5.731771,4.518229,0.788278,3.709855,4.315932,0.859572
p2_sept2,gpt-5,soft,generated_answer,0.826015,5.731771,4.831771,0.842980,2.595228,4.315932,0.601313
p2_sept2,deepseek-chat,hard,correct_answer,0.767597,5.731771,4.515625,0.787824,3.037311,4.315932,0.703744
p2_sept2,deepseek-reasoner,hard,correct_answer,0.768000,5.731771,5.303646,0.925307,2.820350,4.315932,0.653474
p2_sept2,gpt-4o-mini,hard,correct_answer,0.720771,5.731771,5.348958,0.933212,3.044590,4.315932,0.705431
p2_sept2,gpt-4o-mini,hard,textbook_based,0.618283,5.731771,5.356771,0.934575,3.413362,4.315932,0.790875
p2_sept2,gpt-4o,hard,correct_answer,0.760779,5.731771,4.010417,0.699682,3.376736,4.315932,0.782388
p2_sept2,gpt-4o,hard,textbook_based,0.581533,5.589080,3.610345,0.645964,4.226157,4.344946,0.972660
p2_sept2,gpt-5,hard,correct_answer,0.767037,5.731771,5.697917,0.994094,2.774747,4.315932,0.642908
p2_sept2,deepseek-chat,soft,correct_answer,0.759140,5.731771,4.117188,0.718310,3.334245,4.315932,0.772543
p2_sept2,deepseek-reasoner,soft,correct_answer,0.842124,5.731771,4.786458,0.835075,2.513764,4.315932,0.582438
p2_sept2,gpt-4o-mini,soft,correct_answer,0.764587,5.731771,5.492188,0.958201,2.801134,4.315932,0.649022
p2_sept2,gpt-4o-mini,soft,textbook_based,0.668951,5.731771,5.412500,0.944298,3.225541,4.315932,0.747357
p2_sept2,gpt-4o,soft,correct_answer,0.776840,5.731771,4.867188,0.849159,2.959360,4.315932,0.685683
p2_sept2,gpt-5,soft,correct_answer,0.858614,5.731771,5.150000,0.898501,2.294479,4.315932,0.531630
