dataset_name,model_name,strictness_level,method,correlation,average_professor_score,average_llm_score,average_score_ratio,rmse,professor_stddev,rmse_stddev_ratio
tnp_sept,deepseek-chat,default,correct_answer,0.556791,9.750000,8.925000,0.915385,2.118372,0.536190,3.950784
tnp_sept,deepseek-reasoner,default,correct_answer,0.871630,9.750000,9.350000,0.958974,0.790569,0.536190,1.474420
tnp_sept,gpt-4o-mini,default,correct_answer,0.625543,9.750000,9.000000,0.923077,1.024695,0.536190,1.911066
tnp_sept,gpt-4o-mini,default,textbook_based,-0.015638,9.750000,7.450000,0.764103,2.797320,0.536190,5.217029
tnp_sept,gpt-4o,default,correct_answer,0.466252,9.750000,9.700000,0.994872,0.591608,0.536190,1.103355
tnp_sept,gpt-4o,default,textbook_based,0.097480,9.750000,6.650000,0.682051,3.539068,0.536190,6.600395
tnp_sept,gpt-5,default,correct_answer,0.862243,9.750000,9.790000,1.004103,0.277489,0.536190,0.517519
tnp_sept,deepseek-chat,default,generated_answer,-0.270269,9.750000,5.350000,0.548718,5.345559,0.536190,9.969519
tnp_sept,deepseek-reasoner,default,generated_answer,-0.387790,9.750000,4.575000,0.469231,5.778192,0.536190,10.776383
tnp_sept,gpt-4o-mini,default,generated_answer,0.071432,9.750000,5.325000,0.546154,4.681079,0.536190,8.730257
tnp_sept,gpt-4o,default,generated_answer,-0.274981,9.750000,6.600000,0.676923,3.528456,0.536190,6.580604
tnp_sept,gpt-5,default,generated_answer,-0.056886,9.750000,8.575000,0.879487,2.276291,0.536190,4.245304
tnp_sept,deepseek-chat,hard,generated_answer,-0.197802,9.750000,5.900000,0.605128,5.014978,0.536190,9.352981
tnp_sept,deepseek-reasoner,hard,generated_answer,-0.280954,9.750000,6.925000,0.710256,3.763310,0.536190,7.018609
tnp_sept,gpt-4o-mini,hard,generated_answer,-0.240451,9.750000,5.900000,0.605128,4.037326,0.536190,7.529652
tnp_sept,gpt-4o,hard,generated_answer,-0.333898,9.750000,3.400000,0.348718,7.216301,0.536190,13.458471
tnp_sept,gpt-5,hard,generated_answer,0.083741,9.750000,8.600000,0.882051,1.658312,0.536190,3.092769
tnp_sept,deepseek-chat,soft,generated_answer,-0.264747,9.750000,3.625000,0.371795,6.961501,0.536190,12.983267
tnp_sept,deepseek-reasoner,soft,generated_answer,-0.385462,9.750000,5.575000,0.571795,5.038601,0.536190,9.397039
tnp_sept,gpt-4o-mini,soft,generated_answer,-0.210428,9.750000,5.225000,0.535897,4.830890,0.536190,9.009657
tnp_sept,gpt-4o,soft,generated_answer,-0.320162,9.750000,5.925000,0.607692,4.742099,0.536190,8.844060
tnp_sept,gpt-5,soft,generated_answer,-0.107557,9.750000,8.625000,0.884615,2.307921,0.536190,4.304295
tnp_sept,deepseek-chat,hard,correct_answer,0.586190,9.750000,8.600000,0.882051,1.466288,0.536190,2.734641
tnp_sept,deepseek-reasoner,hard,correct_answer,0.692523,9.750000,9.300000,0.953846,0.974679,0.536190,1.817787
tnp_sept,gpt-4o-mini,hard,correct_answer,0.730709,9.750000,9.125000,0.935897,0.928709,0.536190,1.732051
tnp_sept,gpt-4o-mini,hard,textbook_based,0.285520,9.750000,7.100000,0.728205,2.720294,0.536190,5.073375
tnp_sept,gpt-4o,hard,correct_answer,0.761387,9.750000,9.400000,0.964103,0.851469,0.536190,1.587998
tnp_sept,gpt-4o,hard,textbook_based,0.126477,9.736842,6.105263,0.627027,4.737865,0.546963,8.662125
tnp_sept,gpt-5,hard,correct_answer,0.932505,9.750000,9.600000,0.984615,0.387298,0.536190,0.722315
tnp_sept,deepseek-chat,soft,correct_answer,0.559915,9.750000,8.975000,0.920513,2.124265,0.536190,3.961774
tnp_sept,deepseek-reasoner,soft,correct_answer,0.921155,9.750000,9.700000,0.994872,0.223607,0.536190,0.417029
tnp_sept,gpt-4o-mini,soft,correct_answer,0.501466,9.750000,9.275000,0.951282,0.858778,0.536190,1.601630
tnp_sept,gpt-4o-mini,soft,textbook_based,-0.050116,9.750000,7.550000,0.774359,2.673948,0.536190,4.986939
tnp_sept,gpt-4o,soft,correct_answer,0.545668,9.750000,9.650000,0.989744,0.632456,0.536190,1.179536
tnp_sept,gpt-4o,soft,textbook_based,,,,,,,
tnp_sept,gpt-5,soft,correct_answer,0.895645,9.750000,9.825000,1.007692,0.250000,0.536190,0.466252
