dataset_name,model_name,strictness_level,method,correlation,average_professor_score,average_llm_score,average_score_ratio,rmse,professor_stddev,rmse_stddev_ratio
p2_2,deepseek-chat,default,correct_answer,0.813646,4.969697,4.143939,0.833841,2.739996,4.434608,0.617866
p2_2,deepseek-reasoner,default,correct_answer,0.849461,4.969697,4.452273,0.895884,2.403895,4.434608,0.542076
p2_2,gpt-4o-mini,default,correct_answer,0.803575,4.969697,5.007576,1.007622,2.705214,4.434608,0.610023
p2_2,gpt-4o-mini,default,textbook_based,0.694957,4.969697,5.368939,1.080335,3.218307,4.434608,0.725725
p2_2,gpt-4o,default,correct_answer,0.775335,4.969697,5.421212,1.090854,2.855696,4.434608,0.643957
p2_2,gpt-4o,default,textbook_based,0.574703,4.931298,4.848855,0.983282,3.768005,4.429586,0.850645
p2_2,gpt-5,default,correct_answer,0.893685,4.969697,4.739394,0.953659,2.008090,4.434608,0.452822
p2_2,deepseek-chat,default,generated_answer,0.475540,4.969697,2.170455,0.436738,4.973224,4.434608,1.121457
p2_2,deepseek-reasoner,default,generated_answer,0.904381,4.969697,4.371212,0.879573,1.984791,4.434608,0.447568
p2_2,gpt-4o-mini,default,generated_answer,0.732767,4.969697,4.375758,0.880488,3.111879,4.434608,0.701726
p2_2,gpt-4o,default,generated_answer,0.806595,4.969697,4.933333,0.992683,2.622369,4.434608,0.591342
p2_2,gpt-5,default,generated_answer,0.872748,4.969697,4.326515,0.870579,2.258502,4.434608,0.509290
p2_2,deepseek-chat,hard,generated_answer,0.428059,4.969697,1.469697,0.295732,5.424412,4.434608,1.223200
p2_2,deepseek-reasoner,hard,generated_answer,0.761387,4.969697,5.409091,1.088415,2.980365,4.434608,0.672070
p2_2,gpt-4o-mini,hard,generated_answer,0.648132,4.969697,4.878788,0.981707,3.379416,4.434608,0.762055
p2_2,gpt-4o,hard,generated_answer,0.729366,4.969697,3.405303,0.685213,3.480193,4.434608,0.784780
p2_2,gpt-5,hard,generated_answer,0.758278,4.969697,5.121212,1.030488,2.923261,4.434608,0.659193
p2_2,deepseek-chat,soft,generated_answer,0.434268,4.969697,1.496212,0.301067,5.425634,4.434608,1.223475
p2_2,deepseek-reasoner,soft,generated_answer,0.879064,4.969697,4.647727,0.935213,2.150141,4.434608,0.484855
p2_2,gpt-4o-mini,soft,generated_answer,0.673466,4.969697,4.482576,0.901982,3.318897,4.434608,0.748408
p2_2,gpt-4o,soft,generated_answer,0.715310,4.969697,4.136364,0.832317,3.333144,4.434608,0.751621
p2_2,gpt-5,soft,generated_answer,0.872489,4.969697,4.606061,0.926829,2.198622,4.434608,0.495787
p2_2,deepseek-chat,hard,correct_answer,0.814829,4.969697,4.530303,0.911585,2.619854,4.434608,0.590775
p2_2,deepseek-reasoner,hard,correct_answer,0.779828,4.969697,5.598485,1.126524,2.872281,4.434608,0.647697
p2_2,gpt-4o-mini,hard,correct_answer,0.734506,4.969697,5.458333,1.098323,3.073284,4.434608,0.693023
p2_2,gpt-4o-mini,hard,textbook_based,0.596278,4.969697,4.996212,1.005335,3.565672,4.434608,0.804056
p2_2,gpt-4o,hard,correct_answer,0.778740,4.969697,4.015152,0.807927,3.018253,4.434608,0.680613
p2_2,gpt-4o,hard,textbook_based,0.654945,4.873950,3.607563,0.740172,3.697364,4.425964,0.835381
p2_2,gpt-5,hard,correct_answer,0.759035,4.969697,5.666667,1.140244,2.994945,4.434608,0.675357
p2_2,deepseek-chat,soft,correct_answer,0.775329,4.969697,3.840909,0.772866,3.112171,4.434608,0.701792
p2_2,deepseek-reasoner,soft,correct_answer,0.886147,4.969697,4.675758,0.940854,2.080101,4.434608,0.469061
p2_2,gpt-4o-mini,soft,correct_answer,0.817169,4.969697,5.060606,1.018293,2.610439,4.434608,0.588652
p2_2,gpt-4o-mini,soft,textbook_based,0.691402,4.969697,5.034091,1.012957,3.208948,4.434608,0.723615
p2_2,gpt-4o,soft,correct_answer,0.783202,4.969697,4.594697,0.924543,2.899517,4.434608,0.653838
p2_2,gpt-5,soft,correct_answer,0.893876,4.969697,4.953788,0.996799,1.990489,4.434608,0.448853
