dataset_name,model_name,strictness_level,method,correlation,average_professor_score,average_llm_score,average_score_ratio,rmse,professor_stddev,rmse_stddev_ratio
vp_sept,deepseek-chat,default,correct_answer,0.791133,9.133333,8.150000,0.892336,1.795828,1.944794,0.923403
vp_sept,deepseek-reasoner,default,correct_answer,0.822751,9.133333,7.800000,0.854015,1.945079,1.944794,1.000147
vp_sept,gpt-4o-mini,default,correct_answer,0.805828,9.133333,7.750000,0.848540,1.809696,1.944794,0.930534
vp_sept,gpt-4o-mini,default,textbook_based,0.791886,9.133333,7.850000,0.859489,1.758314,1.944794,0.904113
vp_sept,gpt-4o,default,correct_answer,0.875708,9.133333,8.600000,0.941606,1.080123,1.944794,0.555392
vp_sept,gpt-4o,default,textbook_based,0.796680,9.133333,8.116667,0.888686,1.695582,1.944794,0.871857
vp_sept,gpt-5,default,correct_answer,0.844731,9.133333,8.256667,0.904015,1.655999,1.944794,0.851504
vp_sept,deepseek-chat,default,generated_answer,0.818493,9.133333,7.516667,0.822993,2.047356,1.944794,1.052737
vp_sept,deepseek-reasoner,default,generated_answer,0.686278,9.133333,6.826667,0.747445,2.902528,1.944794,1.492460
vp_sept,gpt-4o-mini,default,generated_answer,0.609737,9.133333,6.466667,0.708029,3.098387,1.944794,1.593170
vp_sept,gpt-4o,default,generated_answer,0.781874,9.133333,7.566667,0.828467,1.991649,1.944794,1.024093
vp_sept,gpt-5,default,generated_answer,0.785017,9.133333,8.016667,0.877737,2.067607,1.944794,1.063150
vp_sept,deepseek-chat,hard,generated_answer,0.891814,9.133333,7.266667,0.795620,2.065591,1.944794,1.062113
vp_sept,deepseek-reasoner,hard,generated_answer,0.506541,9.133333,6.616667,0.724453,3.455672,1.944794,1.776883
vp_sept,gpt-4o-mini,hard,generated_answer,0.783507,9.133333,6.716667,0.735401,2.712625,1.944794,1.394814
vp_sept,gpt-4o,hard,generated_answer,0.668077,9.133333,6.466667,0.708029,3.662877,1.944794,1.883427
vp_sept,gpt-5,hard,generated_answer,0.371410,9.133333,7.000000,0.766423,3.464102,1.944794,1.781218
vp_sept,deepseek-chat,soft,generated_answer,0.652654,9.133333,7.216667,0.790146,2.933996,1.944794,1.508641
vp_sept,deepseek-reasoner,soft,generated_answer,0.717910,9.133333,7.166667,0.784672,2.652043,1.944794,1.363663
vp_sept,gpt-4o-mini,soft,generated_answer,0.754916,9.133333,6.750000,0.739051,2.746210,1.944794,1.412083
vp_sept,gpt-4o,soft,generated_answer,0.801722,9.133333,7.890000,0.863869,1.821995,1.944794,0.936858
vp_sept,gpt-5,soft,generated_answer,0.802007,9.133333,8.280000,0.906569,1.867976,1.944794,0.960501
vp_sept,deepseek-chat,hard,correct_answer,0.885551,9.133333,7.933333,0.868613,1.505545,1.944794,0.774141
vp_sept,deepseek-reasoner,hard,correct_answer,0.669673,9.133333,7.600000,0.832117,2.422120,1.944794,1.245438
vp_sept,gpt-4o-mini,hard,correct_answer,0.790522,9.133333,7.566667,0.828467,1.970618,1.944794,1.013278
vp_sept,gpt-4o-mini,hard,textbook_based,0.797739,9.133333,7.533333,0.824818,2.000000,1.944794,1.028387
vp_sept,gpt-4o,hard,correct_answer,0.752212,9.133333,7.610000,0.833212,2.377604,1.944794,1.222548
vp_sept,gpt-4o,hard,textbook_based,0.537326,9.133333,6.783333,0.742701,4.036294,1.944794,2.075435
vp_sept,gpt-5,hard,correct_answer,0.427176,9.133333,7.800000,0.854015,2.828427,1.944794,1.454358
vp_sept,deepseek-chat,soft,correct_answer,0.784096,9.133333,8.116667,0.888686,1.886355,1.944794,0.969951
vp_sept,deepseek-reasoner,soft,correct_answer,0.825821,9.133333,7.933333,0.868613,1.848423,1.944794,0.950447
vp_sept,gpt-4o-mini,soft,correct_answer,0.857663,9.133333,8.050000,0.881387,1.491643,1.944794,0.766993
vp_sept,gpt-4o-mini,soft,textbook_based,0.838539,9.133333,8.433333,0.923358,1.278019,1.944794,0.657149
vp_sept,gpt-4o,soft,correct_answer,0.833415,9.133333,8.116667,0.888686,1.710263,1.944794,0.879406
vp_sept,gpt-5,soft,correct_answer,0.894088,9.133333,8.433333,0.923358,1.297176,1.944794,0.667000
