dataset_name,model_name,strictness_level,method,temperature,correlation,average_professor_score,average_llm_score,average_score_ratio,rmse,professor_stddev,rmse_stddev_ratio
p2_1,gpt-4o,default,correct_answer,default,0.860298,7.150327,6.954248,0.972578,1.859440,3.450436,0.538900
p2_1,gpt-4o,default,correct_answer,0.5,0.843545,7.150327,7.062092,0.987660,1.921243,3.450436,0.556812
p2_1,gpt-4o,default,correct_answer,1,0.852958,7.150327,7.039216,0.984461,1.869955,3.450436,0.541948
p2_2,gpt-4o,default,correct_answer,default,0.775335,4.969697,5.421212,1.090854,2.855696,4.434608,0.643957
p2_2,gpt-4o,default,correct_answer,0.5,0.795095,4.969697,5.340909,1.074695,2.735845,4.434608,0.616931
p2_2,gpt-4o,default,correct_answer,1,0.758837,4.969697,5.140152,1.034299,2.928116,4.434608,0.660287
uu,gpt-4o,default,correct_answer,default,0.966628,7.200000,6.900000,0.958333,1.048809,3.600000,0.291336
uu,gpt-4o,default,correct_answer,0.5,0.981233,7.200000,6.450000,0.895833,1.036822,3.600000,0.288006
uu,gpt-4o,default,correct_answer,1,0.979948,7.200000,7.000000,0.972222,0.836660,3.600000,0.232406
dzp,gpt-4o,default,correct_answer,default,0.609220,5.600000,6.100000,1.089286,2.313007,2.727636,0.847989
dzp,gpt-4o,default,correct_answer,0.5,0.886347,5.600000,7.250000,1.294643,2.484955,2.727636,0.911029
dzp,gpt-4o,default,correct_answer,1,0.829871,5.600000,5.930000,1.058929,1.558525,2.727636,0.571383
all,gpt-4o,default,correct_answer,default,0.820167,6.157377,6.260984,1.016826,2.339931,4.037710,0.579519
all,gpt-4o,default,correct_answer,0.5,0.825321,6.157377,6.303279,1.023695,2.308395,4.037710,0.571709
all,gpt-4o,default,correct_answer,1,0.817049,6.157377,6.179672,1.003621,2.359522,4.037710,0.584371
