dataset_name,model_name,strictness_level,method,correlation,average_professor_score,average_llm_score,average_score_ratio,rmse,professor_stddev,rmse_stddev_ratio
uu,deepseek-chat,default,correct_answer,0.956276,7.200000,5.900000,0.819444,1.673320,3.600000,0.464811
uu,deepseek-reasoner,default,correct_answer,0.935429,7.200000,5.650000,0.784722,2.006240,3.600000,0.557289
uu,gpt-4o-mini,default,correct_answer,0.974110,7.200000,5.700000,0.791667,1.802776,3.600000,0.500771
uu,gpt-4o-mini,default,textbook_based,0.929159,7.200000,5.850000,0.812500,1.955761,3.600000,0.543267
uu,gpt-4o,default,correct_answer,0.966628,7.200000,6.900000,0.958333,1.048809,3.600000,0.291336
uu,gpt-4o,default,textbook_based,0.919660,7.200000,5.830000,0.809722,1.999750,3.600000,0.555486
uu,gpt-5,default,correct_answer,0.937181,7.200000,5.770000,0.801389,1.920677,3.600000,0.533521
uu,deepseek-chat,default,generated_answer,0.961272,7.200000,5.750000,0.798611,1.767767,3.600000,0.491046
uu,deepseek-reasoner,default,generated_answer,0.942110,7.200000,5.350000,0.743056,2.219234,3.600000,0.616454
uu,gpt-4o-mini,default,generated_answer,0.965596,7.200000,5.450000,0.756944,2.103568,3.600000,0.584325
uu,gpt-4o,default,generated_answer,0.956732,7.200000,6.000000,0.833333,1.612452,3.600000,0.447903
uu,gpt-5,default,generated_answer,0.928920,7.200000,5.830000,0.809722,1.912851,3.600000,0.531348
uu,deepseek-chat,hard,generated_answer,0.971711,7.200000,5.800000,0.805556,1.673320,3.600000,0.464811
uu,deepseek-reasoner,hard,generated_answer,0.750648,7.200000,5.100000,0.708333,3.240370,3.600000,0.900103
uu,gpt-4o-mini,hard,generated_answer,0.965316,7.200000,5.700000,0.791667,2.024846,3.600000,0.562457
uu,gpt-4o,hard,generated_answer,0.935800,7.200000,5.750000,0.798611,1.981161,3.600000,0.550323
uu,gpt-5,hard,generated_answer,0.897303,7.200000,5.000000,0.694444,2.756810,3.600000,0.765780
uu,deepseek-chat,soft,generated_answer,0.950469,7.200000,5.850000,0.812500,1.753568,3.600000,0.487102
uu,deepseek-reasoner,soft,generated_answer,0.930472,7.200000,6.000000,0.833333,1.788854,3.600000,0.496904
uu,gpt-4o-mini,soft,generated_answer,0.941900,7.200000,5.600000,0.777778,2.109502,3.600000,0.585973
uu,gpt-4o,soft,generated_answer,0.916680,7.200000,6.050000,0.840278,1.864135,3.600000,0.517815
uu,gpt-5,soft,generated_answer,0.957730,7.200000,6.250000,0.868056,1.405347,3.600000,0.390374
uu,deepseek-chat,hard,correct_answer,0.975088,7.200000,5.750000,0.798611,1.680774,3.600000,0.466882
uu,deepseek-reasoner,hard,correct_answer,0.853188,7.200000,5.000000,0.694444,2.898275,3.600000,0.805076
uu,gpt-4o-mini,hard,correct_answer,0.961500,7.200000,6.050000,0.840278,1.724819,3.600000,0.479116
uu,gpt-4o-mini,hard,textbook_based,0.899436,7.200000,6.150000,0.854167,1.968502,3.600000,0.546806
uu,gpt-4o,hard,correct_answer,0.970774,7.200000,5.900000,0.819444,1.565248,3.600000,0.434791
uu,gpt-4o,hard,textbook_based,0.757863,7.200000,6.050000,0.840278,2.962263,3.600000,0.822851
uu,gpt-5,hard,correct_answer,0.889220,7.200000,5.600000,0.777778,2.366432,3.600000,0.657342
uu,deepseek-chat,soft,correct_answer,0.950148,7.200000,5.900000,0.819444,1.717556,3.600000,0.477099
uu,deepseek-reasoner,soft,correct_answer,0.950469,7.200000,5.850000,0.812500,1.753568,3.600000,0.487102
uu,gpt-4o-mini,soft,correct_answer,0.974555,7.200000,6.150000,0.854167,1.440486,3.600000,0.400135
uu,gpt-4o-mini,soft,textbook_based,0.897310,7.200000,6.300000,0.875000,1.830301,3.600000,0.508417
uu,gpt-4o,soft,correct_answer,0.985614,7.200000,6.650000,0.923611,0.821584,3.600000,0.228218
uu,gpt-5,soft,correct_answer,0.966884,7.200000,6.530000,0.906944,1.139737,3.600000,0.316594
